Datum,Novi Sad Rumenacka,Novi Sad Liman,Beocin Centar,Sremska Mitrovica,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Sabac,Kostolac,Smederevo Centar,Obrenovac Centar,Smederevo Carina,Valjevo,Bor Institut RIM,Kragujevac,Kosjeric,Popovac,Zajecar,Cacak,Paracin,Uzice,Kraljevo,Krusevac,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Pazar,Vranje,Vrsac
2020-03-10,38.12,20.79,19.09,28.96,33.73,22,38.9,37.49,38.69,14.84,10.88,30.59,52.33,15.18,40.55,38.17,29.43,,36.16,12.85,52.61,20.76,28.32,26.88,12.33,,17.91,18.53,22.25,22.23,17.36
2020-03-11,51.19,20.39,18.62,37.71,43.7,30.34,50.97,36.75,40.6,39.29,18.35,39.28,62.92,17.22,35.99,51.91,19.79,,46.51,17.14,49.4,24.44,30.05,24.58,22.76,,29.43,23.48,21.53,29.94,15.97
2020-03-12,51.08,15.19,19.71,33.09,48.28,34.87,45.6,38.51,22.02,34.83,12.32,36.47,57.36,10.77,26.41,55.68,17.15,51.34,43.28,22.97,51,23.01,29.76,20.13,17.76,,26.09,21.22,22.72,27.88,9.11
2020-03-13,33.81,18.45,18.25,20.8,23.23,18.25,31.12,34.05,26.32,16.51,8.82,22.41,46.14,14.3,24.88,41.07,17.64,41.03,46.15,13.36,34.3,14,31.17,15.24,10.95,,18.72,16.93,15.12,20.52,9.26
2020-03-14,21.92,10.97,17.24,20.3,18.25,14.02,25.95,28.46,27.81,18.31,8.46,23.14,49.6,17.43,26.46,25.17,19.07,39.92,40.83,14.49,,16.55,27.13,14.37,9.48,,13.77,19.24,12.04,11.51,14.71
2020-03-15,10.6,6.9,10.32,13.14,9.21,6.41,14.24,15.47,13.73,13.25,4.97,21.89,27.25,10.1,16.71,24.23,12.52,32.63,24.64,9.02,,9.44,16.82,11.94,8.69,,9.92,15.17,12.99,8.31,5.37
2020-03-16,11.86,5.91,10.36,17.62,13.78,5.21,24.25,16.24,12.46,20.25,4.44,29.82,20.77,9.62,21.52,36.47,14.29,41.76,24.78,17,,13.53,25.25,8.46,10.16,,5.99,20.27,21.25,20.3,3.48
2020-03-17,41.99,20.74,22.75,25.33,17.6,22.7,31.93,28.79,26.75,27.04,8.03,27.93,53.76,16.02,29.13,46.83,20.92,39.5,38.33,24.22,24.15,21.34,35.76,22.3,16.53,,23.11,25.95,24.45,24.63,10.51
2020-03-18,38.82,14.07,19.26,31.35,35.31,31.9,34.17,40.09,29.46,33.37,18.91,31.57,51.5,23.54,26.89,44.55,17.74,,35.76,27.89,28.89,18.66,34.75,22.78,16.71,,13.35,25.18,20.19,16.27,16.05
2020-03-19,41.23,12.67,20,28.04,42.54,41.07,39.87,42.83,27.55,36.25,13.5,32.75,54.95,19.61,23.58,39.83,16.38,,40.22,26.44,36.5,23.17,37.93,17.08,20.46,,18.06,21.29,18.39,16.62,13.32
