Datum,Novi Sad Rumenacka,Beocin Centar,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Smederevo Centar,Obrenovac Centar,Popovac,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Pazar,Beograd Vracar,Novi Sad Liman,Smederevo Carina,Smederevo Radinac,Kostolac,Kragujevac,Valjevo,Kosjeric,Uzice,Zajecar,Bor,Kamenicki Vis
2020-03-23,22.89,23.38,15.12,19.65,25.16,21.48,16.23,5.53,4.48,,22.97,25.38,11.87,17.76,22.71,31.69,25.39,19.06,32.1,28.84,33.38,,,13.37
2020-03-24,13.19,16.94,15.8,17.19,30.47,20.48,30.77,19.84,,,23.84,29.19,15.92,15.75,40.49,48.53,26.85,22,20.67,38.45,29.38,,,8.61
2020-03-25,21.16,27.45,31.31,35.99,50.63,33.85,35.32,17.17,,,17.71,33.67,21.29,23.8,49.48,45.6,31.75,26.95,54.4,40.45,37.91,,,10.81
2020-03-26,61.28,90.26,89.97,78.15,34.27,83.56,58.53,32.68,,,23.93,35.46,22.24,65.01,84.81,89.7,84,29.33,57.32,43.16,39.18,,,12.64
2020-03-27,300.71,432.33,367.25,322.08,135.9,373.13,154.7,226.5,,,150.6,179.7,56.51,256.34,286.93,358.98,314.65,85.81,281.83,252.45,234.9,,,
2020-03-28,190.46,174.27,177.63,141.9,82.82,192.42,119.61,105.2,,,114.46,174.73,44.39,123.04,141.84,183.5,147.83,51.86,157.05,141.67,166.7,,,
2020-03-29,86.61,98.05,92.55,82.05,50.65,108.46,76.17,44.47,,,77.25,119.1,,67.93,,121.42,89.8,40.32,105.21,91.06,99.22,,,
2020-03-30,38.61,43.43,40.73,41.39,30.04,43.84,38.05,17.77,,,59.98,70.18,,30.03,,,,40.32,78.33,58.76,50.61,49.15,,
2020-03-31,26.17,21.05,17.1,17.77,15.33,20.44,17.25,9.92,,,24.69,37.93,,,,,,25.48,40.99,31.02,29.57,35.54,28.09,
2020-04-01,26.41,32.78,20.47,21.24,14.1,23.68,23.4,8.48,,,16.08,26.3,,,,,,21.82,51.69,35.73,35.01,33.35,30.1,
2020-04-02,35.68,34.8,25.85,27.36,19.76,30.16,28.14,9.35,,,42.41,49.9,,,,,,32.26,68.55,41.36,,82.63,30.47,
2020-04-03,63.54,48.26,41.15,37.95,28.78,41.73,49.89,17.51,57.5,,60.85,73.07,,,,,,,,,,98.54,31.55,
2020-04-04,55.87,43.51,45.85,53.09,34.7,54.52,47.33,23.41,51.77,,43.66,55.87,,,,,,,,,,51.31,58.76,
2020-04-05,37.66,40.66,39.74,39.23,26.23,44.29,49.86,17.28,63.55,,48.12,46.51,,,,,,,,,,93.46,95.74,
2020-04-06,70.62,58.4,43.57,50.76,30.3,46.39,48.91,20.88,174,,59,64.18,,,,,,,,,,78.04,90.13,
2020-04-07,36.71,35.1,28.95,28.8,19.11,31.45,33.99,13.47,133.39,,24.73,50.03,,,,,,,,,,94.51,63.64,
2020-04-08,42.36,40.85,41.58,37.93,28.69,44.93,60.19,21.05,130.57,,25.98,49.3,,,,,,,,,,84.08,44.43,
2020-04-09,74.07,60.47,58.84,58.58,47.52,70.87,75.38,31.5,46.81,,38.92,58.58,,,,,,46.55,,,,101.1,32.64,
2020-04-10,51.97,41.2,49.98,50.18,39.08,57.54,67.93,28.01,76.32,,47.06,82.77,,,,,40.63,54.78,,,,63.37,32.46,
2020-04-11,33.83,33.84,32.46,30.65,23.1,35.17,30.25,17.65,49.73,,35.71,51.95,,,,,32.65,32.8,,,,60.64,29.92,
2020-04-12,30.96,24.83,32.7,29.56,18.46,35.55,36.03,25.04,61.62,,28.56,47.51,,,,,45.53,33.35,,,,72.54,45.87,
2020-04-13,57.59,42.82,49.83,42.2,37.11,49.05,54.91,26.07,128.41,,35.19,68.1,,,,,35.55,45.8,,,,70.51,52.41,
2020-04-14,30.49,,24.59,26.55,17.49,26.77,25.8,12.53,72.16,,31.37,51.88,,,39.77,44.86,24.31,42.12,37.88,32.45,39.88,,32.28,
2020-04-15,27.45,22.31,20.83,22.94,18.08,25.81,26.93,13.74,36.72,,22.2,35.83,20.32,24.18,37.38,40.48,40.45,25.29,43.17,34.1,39.54,34.46,21.4,
2020-04-16,36.07,23.13,27.55,27.1,24.27,31.7,51.56,17.48,88.22,,38.91,54.83,17.71,22.89,42.69,82.4,31.37,38.13,52.23,39.75,50.61,61.91,22.12,16.66
2020-04-17,27.67,22.02,23.62,25.37,17.25,31.2,39.14,12.46,84.22,,30.38,43.98,16.46,22.89,30.24,74.72,32.83,33.72,32.46,30.84,42.26,47.62,22.13,13.91
2020-04-18,29.6,26.85,20.56,21.63,15.44,24.01,33.68,13.44,55.62,,21.73,35.7,15.63,,46.89,100.92,47.33,41.96,26.85,29.74,29.92,38.1,24.48,14.47
2020-04-19,36.3,31.15,33.38,30.47,18.63,33.75,32.45,17.67,37.12,,25.01,39.17,17.71,31.31,44.52,89,22.86,34.07,31.56,38.79,32.64,37.73,29.01,27.28
2020-04-20,16.79,17.84,15.37,13.34,8.48,16.12,14.02,7.82,28.64,,19.58,30.54,11.99,19.96,26.38,29.68,30.66,22.16,22.49,34.64,25.76,32.06,32.83,22.89
2020-04-21,34.94,28.81,28.29,24.15,17.22,27.68,24.5,10.42,26.46,,12.81,16.83,14.82,28.75,42.7,47.62,27.21,23.82,21.58,,18.14,29.86,37.35,10.07
2020-04-22,36.3,29.78,29.71,26.29,21.73,32.88,34.37,11.19,98.18,,,29.18,17.41,29.49,38.84,64.28,26.3,32.45,40.99,29.6,33.01,47.08,38.62,8.06
2020-04-23,42.86,29.54,31.89,26.53,20.57,32.37,38.08,13.08,119.91,,,48.64,16.7,33.51,41.96,90.29,34.29,,37,34.83,46.99,56.96,46.06,18.68
2020-04-24,53.68,35.19,43.49,31,30.38,47.44,40.19,15.38,67.38,,,45.2,20.79,31.31,42.13,80.24,66.03,,38.09,46.44,47.16,44.7,34.46,16.66
2020-04-25,47.14,40.58,39.89,30.31,27.38,41.91,34.2,19.22,44.5,,,30.75,17.29,38.45,37.55,49.62,36.46,38.5,34.46,36.82,37,40.66,36.63,17.39
2020-04-26,32.03,28.6,28.35,17.82,17.58,31.25,21.39,12.86,33.47,,,35.52,14.87,30.21,29.31,45.25,33.36,42.36,31.01,35.55,34.46,34.62,25.39,32.04
2020-04-27,28.6,22.46,30.31,27.75,24.6,36.19,32.95,16.06,53.51,,,36.09,14.77,27.23,26.38,67.76,,32.46,44.8,41.39,45.34,33.15,31.56,18.31
2020-04-28,31.47,27.48,26.27,18.93,20.7,28.44,28.67,14.12,88.01,23.4,,42.66,15.69,24.17,37.36,75.08,,33.91,37.18,44.26,45.71,36.27,39.17,17.39
2020-04-29,19.46,12.52,16.51,12.18,12.05,28.5,18.99,10.36,43.09,26.54,,28.88,11.5,17.39,20.15,41.2,28.3,30.78,120.99,28.47,33.92,32.42,28.29,21.02
2020-04-30,13.4,14.34,11.83,11.04,11.34,19.92,14.49,6.02,27.29,17.15,,21.74,7.16,13.92,19.97,23.99,25.39,23.06,33.01,27.39,36.82,,16.68,8.06
2020-05-01,8.1,10.35,12.41,11.28,12.95,14.27,19.17,5.3,30.1,12.27,,18.27,7.16,14.83,22.53,49.26,17.78,20.51,27.02,29.2,23.04,16.85,24.66,10.62
2020-05-02,7.9,10.08,10.81,8.27,6.28,10.86,11.71,3.64,13.16,10.15,,27,5.91,10.8,17.95,28.75,16.51,15.18,28.84,17.78,23.4,11.73,14.69,9.52
2020-05-03,11.19,17.32,14.36,12.01,10.76,17.29,14.75,5.98,15.94,14.55,,26.98,6.44,17.39,21.44,25.45,13.81,20.9,29.2,20.86,28.84,20.7,16.86,3.48
2020-05-04,12.78,21.31,15.53,15.82,18.61,22.58,18.08,6.24,24.07,21.24,,52.86,8.62,15.38,23.64,30.77,17.41,28.05,34.65,23.04,,28.76,19.22,14.65
2020-05-05,,13.51,17.17,15.55,15.77,21.24,21,8.5,45.5,18.88,,31.7,7.89,14.65,35.72,46.34,18.14,27.14,31.02,25.93,,23.63,23.39,13.73
2020-05-06,,15.47,10.98,10.5,12.22,15.53,11.3,4.62,37.49,19.37,,24.1,7.51,16.3,18.32,19.42,23.04,23.22,11.43,18.14,,20.88,13.06,6.41
2020-05-07,,23.47,14.04,13.23,21.2,20.62,11.63,7.86,33.66,25.41,,34.65,7.36,21.06,19.6,25.64,13.42,,36.46,27.39,,22.9,19.76,11.72
2020-05-08,,19.87,22.88,20.5,18.69,35.99,24.45,10.02,44.26,22.83,,42.97,10.43,21.79,23.81,36.82,20.31,,34.1,41.35,34.28,35.73,21.04,16.66
2020-05-09,,35.49,37.62,21.91,22.19,33.37,38.97,9.82,34.97,20.47,,42.5,11.87,24.72,36.46,63.92,29.93,30.24,6.17,39.9,36.46,23.26,23.21,15.93
2020-05-10,23.61,15.44,28.12,22.55,17,32.17,29.04,10.22,33.74,16.62,,35.08,13.67,24.17,37.2,64.64,18.86,28.97,40.27,52.06,29.38,31.69,29.38,11.72
2020-05-11,31.1,24.16,29.09,21.93,19.58,38.18,22.69,13.57,82.78,31.57,,57.13,8.42,27.83,30.04,83.12,30.83,48.42,58.94,66.57,49.69,40.47,37.36,15.19
2020-05-12,25.64,23.14,27.26,20.28,27.03,35.55,12.22,11.31,47.19,26.44,,47.42,5.9,26.48,19.78,39.74,27.21,57.77,44.8,36.09,38.09,36.09,27.38,30.56
2020-05-13,21.08,18.84,20.65,13.57,14.91,23.47,17.9,7.16,,16.87,,36.57,8.32,25.63,25.97,35.78,34.46,44.03,38.27,39.72,36.45,24.91,39.72,12.9
2020-05-14,34.13,33.4,30.41,18.11,18.35,35.67,21.59,14.86,,42.31,,86.37,10.57,39.92,28.94,44.15,37.92,57.59,52.24,57.5,57.68,27.56,38.8,25.08
2020-05-15,37.96,33.27,38.44,22.97,24.78,47.39,37.61,13.35,90.5,72.31,,109.48,13.44,42.66,37.37,64.09,30.3,73.91,48.07,81.97,92.15,42.94,50.96,47.42
2020-05-16,26.82,22.97,26.24,15.38,18.17,32.45,23.21,5.67,35.77,42.84,,82.18,8.41,22.89,19.97,36.99,33.56,45.11,33.19,42.63,51.51,47.63,38.45,50.71
