Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Beograd Panc.most,Beograd Zeleno brdo,Bor Brezonik,Bor Institut RIM,Bor Gradski park,Cacak,Kamenicki Vis EMEP,Kikinda,Kopaonik,Kosjeric,Kostolac,Kragujevac,Kraljevo,Krusevac,Loznica,Novi Sad SPENS,Novi Sad Liman,Nis IZJZ Nis,Obrenovac Centar,Pancevo Sodara,Paracin,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar,Smederevo Radinac
2011-03-27,18.38,10.51,11.03,9.89,51.89,7.74,7.41,22.1,39.66,7.51,6.12,6.12,6.12,7.69,30.86,13.43,8.06,17.56,38.61,6.49,15.38,7.66,19.67,6.4,14.86,32.21,30.43,31.12,34.09,9.63,28.52,44.38
2011-03-28,24.81,18.28,24.61,13.5,53.0,10.48,275.64,6.89,152.87,7.85,6.12,7.63,6.12,10.12,17.82,12.36,32.02,13.14,14.24,18.32,26.33,20.14,19.89,8.74,6.12,19.16,14.27,36.18,35.8,12.67,17.77,20.18
2011-03-29,13.91,6.48,8.92,7.9,55.16,7.07,111.71,39.52,94.46,6.67,6.12,6.12,6.12,10.8,6.92,6.59,12.4,9.11,8.47,6.38,14.55,6.12,8.11,6.12,10.04,15.62,31.35,21.01,24.8,12.08,35.84,15.49
2011-03-30,16.16,13.97,17.15,17.15,54.31,17.35,12.76,79.58,164.5,8.62,10.23,7.49,7.65,7.53,9.84,7.13,9.03,17.97,12.28,6.12,14.08,12.34,9.23,13.71,10.51,19.7,21.32,24.47,6.12,19.58,29.86,18.98
2011-03-31,38.25,34.01,36.13,27.78,58.35,31.23,76.91,47.79,81.17,13.87,6.12,17.1,6.45,17.84,31.65,6.74,10.61,14.49,13.39,12.48,23.18,12.34,21.07,31.2,6.12,24.9,20.55,35.11,,10.66,37.27,27.69
2011-04-01,27.41,13.9,24.97,12.02,64.42,17.68,78.01,67.58,171.14,9.76,6.12,8.82,8.56,13.27,40.17,8.26,9.53,10.7,18.1,11.86,20.37,8.15,19.65,11.09,6.68,28.36,18.56,38.84,,9.55,73.9,28.34
2011-04-02,9.98,9.05,16.03,13.71,57.6,20.15,148.97,99.7,165.24,8.4,7.68,6.12,12.5,11.29,14.36,6.85,15.3,15.27,9.32,7.32,14.3,10.03,11.94,6.44,10.5,12.18,10.79,31.12,,9.23,28.38,15.1
2011-04-03,8.36,9.35,9.83,7.25,54.53,19.51,73.09,122.52,186.39,7.55,6.12,6.42,7.28,9.09,46.82,6.12,7.23,12.35,8.55,7.74,14.38,7.69,7.81,10.51,6.12,11.73,20.0,23.67,,7.97,26.85,26.27
2011-04-04,18.71,17.51,24.47,14.18,58.49,22.9,188.63,95.31,186.79,9.19,7.69,6.12,9.3,8.12,12.77,9.63,10.51,11.87,7.55,6.38,15.41,11.46,38.22,9.84,7.14,11.63,6.64,28.99,,13.87,37.36,15.05
2011-04-05,6.12,6.12,6.12,7.65,54.7,16.54,10.41,38.72,71.42,6.95,7.67,6.12,7.02,7.91,4.52,6.68,7.55,9.18,34.59,6.12,11.35,8.72,14.63,6.12,6.12,6.56,6.77,14.9,,21.32,31.3,10.55
